id,unit_id,title,sort_order,summary
rt-chu-tich,thuong-truc,Chủ tịch HĐHS,1,Điều hành chung và đại diện HĐHS
rt-pct-dai-dien,thuong-truc,Phó Chủ tịch Đại diện & Đối thoại,2,Phụ trách đại diện lớp và tiếng nói học sinh
rt-pct-van-hanh,thuong-truc,Phó Chủ tịch Vận hành & Phát triển,3,Phụ trách vận hành và phát triển hệ sinh thái
rt-tong-thu-ky,thuong-truc,Tổng Thư ký,4,Hồ sơ lịch biên bản và bàn giao
r-hdclb-cn,hoi-dong-clb,Chủ nhiệm Hội đồng CLB,1,Điều phối Hội đồng CLB
r-hdclb-pcn,hoi-dong-clb,Phó Chủ nhiệm Hội đồng CLB,2,Hỗ trợ điều phối Hội đồng CLB
r-hdclb-tk,hoi-dong-clb,Thư ký Hội đồng CLB,3,Hồ sơ lịch và tổng hợp
r-hdht-cn,hoi-dong-hoc-thuat,Chủ nhiệm Hội đồng Học thuật,1,Điều phối Hội đồng Học thuật
r-hdht-pcn,hoi-dong-hoc-thuat,Phó Chủ nhiệm Hội đồng Học thuật,2,Hỗ trợ điều phối học thuật
r-hdht-tk,hoi-dong-hoc-thuat,Thư ký Hội đồng Học thuật,3,Hồ sơ và lịch học thuật
r-dd-tb,ban-dai-dien,Trưởng ban,1,Điều hành Ban Đại diện Học sinh
r-dd-ptb,ban-dai-dien,Phó Trưởng ban,2,Hỗ trợ điều hành
r-clbtt-cn,ban-truyen-thong,Chủ nhiệm,1,Chức danh hiện có của đơn vị Truyền thông
r-clbtt-tv,ban-truyen-thong,Thành viên,99,Thành viên đơn vị Truyền thông
r-tht-tb,ban-thong-tin,Trưởng ban,1,Điều hành thông tin và hệ thống
r-tht-ptb,ban-thong-tin,Phó Trưởng ban,2,Hỗ trợ điều hành
